filename,peak,rms,silence_ratio,clipped
Fur_elise_45.wav,0.9884999990463257,0.11795441061258316,0.6700280112044817,False
Fur_elise_62.wav,0.9884999990463257,0.07850651443004608,0.6591721132897603,False
Fur_elise_54.wav,0.7502992749214172,0.10206709057092667,0.6507820906140234,False
Fur_elise_52.wav,0.8872503042221069,0.08118126541376114,0.6480787870703837,False
Fur_elise_46.wav,0.9884999990463257,0.11850335448980331,0.5855444399982215,False
Fur_elise_50.wav,0.9884999990463257,0.11847113817930222,0.5620692721533058,False
Fur_elise_39.wav,0.9884999990463257,0.14328497648239136,0.5611124449779912,False
Fur_elise_27.wav,0.9884999990463257,0.12981168925762177,0.5515050464630297,False
Fur_elise_33.wav,0.9884999990463257,0.12728792428970337,0.5479738562091503,False
Fur_elise_3.wav,0.9884999990463257,0.10633280873298645,0.49970032457427416,False
